"SEQUENCIAL_CANDIDATO";"SIGLA_UF";"TOTAL_VOTOS"
10000000135;"AC";37
10000000142;"AC";383
10000000157;"AC";135
10000000158;"AC";26448
10000000159;"AC";103
10000000161;"AC";9896
10000000162;"AC";139
10000000163;"AC";20876
10000000164;"AC";1025
10000000165;"AC";5
10000000166;"AC";39844
10000000167;"AC";5
10000000168;"AC";1994
10000000169;"AC";3842
10000000170;"AC";1913
10000000171;"AC";18395
10000000172;"AC";13738
10000000173;"AC";17903
10000000174;"AC";237
10000000175;"AC";254
10000000176;"AC";515
10000000177;"AC";11229
10000000178;"AC";11397
10000000179;"AC";5871
10000000180;"AC";3343
10000000327;"AC";665
10000000347;"AC";838
10000000348;"AC";1199
10000000349;"AC";1377
10000000358;"AC";668
10000000363;"AC";10306
10000000365;"AC";962
10000000366;"AC";2011
10000000367;"AC";145
10000000368;"AC";6451
10000000369;"AC";663
10000000370;"AC";525
10000000371;"AC";1135
10000000602;"AC";3487
10000000603;"AC";1154
10000000604;"AC";345
10000000605;"AC";17300
10000000607;"AC";23466
10000000608;"AC";4518
10000000609;"AC";4104
10000000610;"AC";924
10000000611;"AC";227
10000000612;"AC";245
10000000613;"AC";18372
10000000614;"AC";12126
10000000615;"AC";13610
10000000616;"AC";13431
10000000617;"AC";6707
10000000618;"AC";2354
10000000619;"AC";206
10000000620;"AC";2866
10000000622;"AC";205
10000000623;"AC";956
10000000624;"AC";186
10000000625;"AC";4717
10000000721;"AC";15
10000000761;"AC";20339
20000000009;"AL";1755
20000000010;"AL";997
20000000019;"AL";1752
20000000022;"AL";145
20000000023;"AL";2573
20000000024;"AL";109
20000000043;"AL";64435
20000000044;"AL";58095
20000000045;"AL";12194
20000000046;"AL";7188
20000000047;"AL";2349
20000000048;"AL";181
20000000049;"AL";427
20000000050;"AL";978
20000000051;"AL";333
20000000052;"AL";116
20000000054;"AL";3782
20000000058;"AL";35
20000000059;"AL";20
20000000060;"AL";4568
20000000082;"AL";7464
20000000083;"AL";508
20000000084;"AL";1045
20000000085;"AL";44
20000000086;"AL";186
20000000116;"AL";734
20000000119;"AL";662
20000000120;"AL";483
20000000123;"AL";341
20000000125;"AL";839
20000000126;"AL";5836
20000000127;"AL";13986
20000000128;"AL";4394
20000000129;"AL";1159
20000000153;"AL";76706
20000000156;"AL";66910
20000000157;"AL";1901
20000000158;"AL";709
20000000159;"AL";2273
20000000160;"AL";1519
20000000167;"AL";98231
20000000169;"AL";8596
20000000170;"AL";15384
20000000172;"AL";3517
20000000183;"AL";135929
20000000198;"AL";38
20000000265;"AL";173
